name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people,row_number
Mudpipe Cafe,true,true,4.5,1879,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,25
XO Belgian Waffle,true,false,4.5,563,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,26
Mudpipe Cafe,true,true,4.5,1879,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,27
Mudpipe Cafe,true,true,4.5,1880,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,28
Mudpipe Cafe,true,true,4.5,1880,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,29
XO Belgian Waffle,true,false,4.5,565,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400,30
Mudpipe Cafe,true,true,4.5,1880,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,31
Mudpipe Cafe,true,true,4.5,1883,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,32
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1149,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",33
The Biryani Story,false,false,4.4,76,080 26681316,BTM,Casual Dining,"Paneer Tikka, Mutton Biryani","Biryani, North Indian, Chinese, Mughlai",600,34
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1149,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",35
The Biryani Story,false,false,4.4,76,080 26681316,BTM,Casual Dining,"Paneer Tikka, Mutton Biryani","Biryani, North Indian, Chinese, Mughlai",600,36
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1149,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",37
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1154,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",38
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1154,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",39
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1162,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",40
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1154,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",41
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1154,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",42
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1154,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",43
Jose's Mess,false,false,4.4,316,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,44
Jose's Mess,false,false,4.4,318,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,45
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1174,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",46
Jose's Mess,false,false,4.4,318,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,47
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1178,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",48
Jose's Mess,false,false,4.4,320,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,49
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1178,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",50
"3B's - Buddies, Bar & Barbecues",false,true,4.4,1181,+91 8880088696,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","1,100",51
BOX8- Desi Meals,true,false,4.3,385,022 33552698,BTM,"Takeaway, Delivery","Dal Makhani, Paratha, Salad, Rajma, Biryani, Brownie, Salads","North Indian, Mughlai, Fast Food",500,52
Mojo Pizza - 2X Toppings,true,false,4.3,475,022 33252828,BTM,"Takeaway, Delivery","Veggie Pizza, Garlic Bread, Cheesy Pizza, Chicken Pizza, Thin Crust Pizza, Chocolava",Pizza,600,53
Jose's Mess,false,false,4.3,315,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,54
Jose's Mess,false,false,4.3,315,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,55
Mojo Pizza - 2X Toppings,true,false,4.3,476,022 33252828,BTM,"Takeaway, Delivery","Veggie Pizza, Garlic Bread, Cheesy Pizza, Chicken Pizza, Thin Crust Pizza, Chocolava",Pizza,600,56
Jose's Mess,false,false,4.3,316,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,57
Jose's Mess,false,false,4.3,317,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,58
Mojo Pizza - 2X Toppings,true,false,4.3,34,00 2233252828,BTM,Quick Bites,"Pizza, Spicy Paneer, Chicken Wings, Garlic Bread",Pizza,600,59
Jose's Mess,false,false,4.3,317,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,60
Jose's Mess,false,false,4.3,317,080 26840905,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry","Kerala, South Indian, Biryani",300,61
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,62
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,63
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,64
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,65
Amma's Pastries,false,false,4.2,434,+91 9590607750,BTM,Dessert Parlor,"Fruit Truffle, Tiramisu Cake, Cheesecake, Chocolate Truffle, Brownie, Chocolate Cake, Sandwiches","Bakery, Desserts",400,66
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,67
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,68
Yum In My Tum,true,false,4.2,103,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Spring Roll, Noodles, Fried Rice, Fries","Chinese, Continental, Fast Food, Healthy Food",300,69
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,70
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,71
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,72
Roti Wala,true,false,4.2,200,080 71967538,BTM,Quick Bites,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",North Indian,300,73
Yum In My Tum,true,false,4.2,102,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Spring Roll, Noodles, Fried Rice, Fries","Chinese, Continental, Fast Food, Healthy Food",300,74
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,75
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,76
Yum In My Tum,true,false,4.2,105,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta","Chinese, Continental, Fast Food, Healthy Food",300,77
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,78
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,79
Yum In My Tum,true,false,4.2,114,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta","Chinese, Continental, Fast Food, Healthy Food",300,80
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,81
Yum In My Tum,true,false,4.2,114,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta","Chinese, Continental, Fast Food, Healthy Food",300,82
Polamma's Mess,true,false,4.2,185,+91 9743060222,BTM,Mess,"Lemon Chicken, Hyderabadi Biryani, Chicken Biryani, Chicken Fry, Andhra Meal, Thali, French Chicken","North Indian, Chinese, Biryani",300,83
Yum In My Tum,true,false,4.2,120,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta","Chinese, Continental, Fast Food, Healthy Food",300,84
Litti Twist,true,false,4.2,465,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,85
Midnight Mania,true,false,4.1,601,+91 9066022868,BTM,Quick Bites,"Peri Peri Chicken, Chicken Pizza, White Pasta, Kit Kat Shake","Pizza, Italian, Beverages",700,86
Litti Twist,true,false,4.1,464,+91 8884270523,BTM,Quick Bites,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai","North Indian, Bihari",300,87
The Shawarma Shop,true,false,4.1,381,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,88
Gorbandh,true,false,4.1,83,080 49652562,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400,89
Yum In My Tum,true,false,4.1,92,+91 9108084789,BTM,Quick Bites,"Momos, Manchow Soup, Pizza Sandwich, Spring Roll, Noodles, Fries, Fried Rice","Chinese, Continental, Fast Food, Healthy Food",300,90
Gorbandh,true,false,4.1,83,080 49652562,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400,91
Swad Punjab Da,true,false,4.1,128,+91 8360151853,BTM,Quick Bites,"Lassi, Roti, Veg Thali, Aloo Paratha, Egg Curry",North Indian,150,92
Yum In My Tum,true,false,4.1,99,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Spring Roll, Noodles, Fries, Fried Rice","Chinese, Continental, Fast Food, Healthy Food",300,93
The Shawarma Shop,true,false,4.1,381,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,94
Midnight Mania,true,false,4.1,601,+91 9066022868,BTM,Quick Bites,"Peri Peri Chicken, Chicken Pizza, White Pasta, Kit Kat Shake","Pizza, Italian, Beverages",700,95
Hungry Lee,false,false,4.1,358,+91 9900676240,BTM,Quick Bites,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings","Chinese, Thai, Asian",500,96
Yum In My Tum,true,false,4.1,99,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Spring Roll, Noodles, Fries, Fried Rice","Chinese, Continental, Fast Food, Healthy Food",300,97
The Shawarma Shop,true,false,4.1,381,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,98
Swad Punjab Da,true,false,4.1,128,+91 8360151853,BTM,Quick Bites,"Lassi, Roti, Veg Thali, Aloo Paratha, Egg Curry",North Indian,150,99
Hungry Lee,false,false,4.1,358,+91 9900676240,BTM,Quick Bites,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings","Chinese, Thai, Asian",500,100
Fish Chain,true,false,4.1,52,080 43334333,BTM,"Takeaway, Delivery",Sea Food,"Seafood, BBQ, Biryani",250,101
The Shawarma Shop,true,false,4.1,381,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,102
The Shawarma Shop,true,false,4.1,382,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,103
Fish Chain,true,false,4.1,52,080 43334333,BTM,"Takeaway, Delivery",Sea Food,"Seafood, BBQ, Biryani",250,104
Swad Punjab Da,true,false,4.1,130,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,105
The Shawarma Shop,true,false,4.1,381,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,106
Midnight Mania,true,false,4.1,601,+91 9066022868,BTM,Quick Bites,"Peri Peri Chicken, Chicken Pizza, White Pasta, Kit Kat Shake","Pizza, Italian, Beverages",700,107
The Shawarma Shop,true,false,4.1,381,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,108
Roti Wala,true,false,4.1,200,080 71967538,BTM,Quick Bites,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",North Indian,300,109
Swad Punjab Da,true,false,4.1,130,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,110
The Shawarma Shop,true,false,4.1,382,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,111
Firangi Bake,true,false,4.1,95,+91 7710090007,BTM,Delivery,"Lasagne, Subz-e-royal Pot Rice","Mexican, Italian",600,112
Fish Chain,true,false,4.1,54,080 43334333,BTM,"Takeaway, Delivery",Sea Food,"Seafood, BBQ, Biryani",250,113
Easy Bites,true,false,4.1,77,080 43334321,BTM,"Takeaway, Delivery","Potato Wedges, Chicken Shawarama, Popcorn Chicken","Fast Food, Sandwich",300,114
Swad Punjab Da,true,false,4.1,133,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,115
The Shawarma Shop,true,false,4.1,382,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,116
Hungry Lee,false,false,4.1,357,+91 9900676240,BTM,Quick Bites,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings","Chinese, Thai, Asian",500,117
Swad Punjab Da,true,false,4.1,133,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,118
Hungry Lee,false,false,4.1,357,+91 9900676240,BTM,Quick Bites,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings","Chinese, Thai, Asian",500,119
Swad Punjab Da,true,false,4.1,133,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,120
The Shawarma Shop,true,false,4.1,382,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,121
Firangi Bake,true,false,4.1,95,+91 7710090007,BTM,Delivery,"Lasagne, Subz-e-royal Pot Rice","Mexican, Italian",600,122
Fish Chain,true,false,4.1,58,080 43334333,BTM,"Takeaway, Delivery",Sea Food,"Seafood, BBQ, Biryani",250,123
Easy Bites,true,false,4.1,77,080 43334321,BTM,"Takeaway, Delivery","Potato Wedges, Chicken Shawarama, Popcorn Chicken","Fast Food, Sandwich",300,124
Roti Wala,true,false,4.1,201,080 71967538,BTM,Quick Bites,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",North Indian,300,125
Swad Punjab Da,true,false,4.1,134,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,126
The Shawarma Shop,true,false,4.1,382,+91 9343665007,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,127
Firangi Bake,true,false,4.1,95,+91 7710090007,BTM,Delivery,"Lasagne, Subz-e-royal Pot Rice","Mexican, Italian",600,128
Gorbandh,true,false,4.1,86,080 49652562,BTM,Quick Bites,"Aloo Paratha, Poha, Samosa, Kachori, Chaat","Fast Food, North Indian",400,129
Hungry Lee,false,false,4.1,357,+91 9900676240,BTM,Quick Bites,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings","Chinese, Thai, Asian",500,130
Gogula's Sweets & Chats,true,false,4.1,208,+91 9649640353,BTM,"Sweet Shop, Quick Bites","Chole, Kulfi, Kachori, Samosa, Chaat, Pav Bhaji, Barfi","Mithai, Street Food, Fast Food",200,131
Swad Punjab Da,true,false,4.1,134,+91 8360151853,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",North Indian,150,132
Hungry Lee,false,false,4.1,357,+91 9900676240,BTM,Quick Bites,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings","Chinese, Thai, Asian",500,133
Swad Punjab Da,true,false,4.0,126,+91 8360151853,BTM,Quick Bites,"Lassi, Roti, Veg Thali, Aloo Paratha, Egg Curry",North Indian,150,134
Roti Wala,true,false,4.0,197,+91 9731100002,BTM,Quick Bites,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",North Indian,300,135
Waffle Head,true,false,4.0,35,080 49653258,BTM,"Dessert Parlor, Beverage Shop","Marshmallow, Chocolate Waffles","Desserts, Beverages, Bakery, Ice Cream",300,136
Gud Dhani,true,false,4.0,827,080 50060017,BTM,Casual Dining,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",Rajasthani,500,137
