having_online_order,not_having_online_order
Shanghai Court,Baba Da Dhaba
Punjabi Times,Saatvikk
Butterly,Tempura Restaurant
Kundana,The 13th Floor
#refuel,KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©
Kabab Treat,JW Kitchen - JW Marriott Bengaluru
A2B - Adyar Ananda Bhavan,Yauatcha
Malhar Maharashtrian Cuisine,Brik Oven
Sri Bhagya Grand,Rim Naam - The Oberoi
Marwa Restaurant,Bangalore Brew Works
Status,Fava
Aramane Restaurant,The Bangalore Cafe
Chai Point,Samarkand
Wangs Kitchen,Spice Terrace - JW Marriott
Krishna Kuteera,Carnatic
McDonald's,Alchemy - The Chancery Pavilion
Kanteen The Eatery,1Q1
Shetty's Kitchen,Truffles
Polar Bear,Sotally Tober
Cravings,Hoppipola
Burger King,Tree Tops Bar & Kitchen
KFC,Matteo Coffea
Oottupura Family Restaurant,Cubbon Pavilion - ITC Gardenia
Shuddh Desi Khana,Chianti
Just Shawarma,Alba - JW Marriott Bengaluru
Faasos,Bang - The Ritz-Carlton
Idly Pidly,The Spice Bazaar
Pizza Hut,Capri Gastrobar
Bangaliana,Salvadores
Ishta Cafe,Cafe Noir
Brews N Bites,Russh Gastropub
Smoke - The Sizzler House,RS Shiv Sagar
Chefeana,Mahjong Room - WelcomHotel Bengaluru
Nellore Bhojanam,The Market - The Ritz-Carlton
Le Arabia,Cafe Kaara
Crumb Together,WelcomCafe Jacaranda - WelcomHotel Bengaluru
Mani's Dum Biryani,Kebabs & Kurries - ITC Gardenia
Two Friends Cauldron,Japan Travel Cafe Azuki
Caffe Pascucci,Coconut Grove
Melt - Eden Park,Pashto
The Egg Factory,Season - Adarsh Hamilton
Kakal-Kai Ruchi,Edo Restaurant & Bar - ITC Gardenia
Mudpipe Cafe,Riwaz - The Ritz-Carlton
Zeeshan,Ithaca - The Chancery Pavilion
New Prashanth Hotel,Matsuri - The Chancery Hotel
Grills & Rolls,The Courtyard
Chaitanya Cafe,Lotus Pavilion - ITC Gardenia
Five Star Chicken,New Hilal Restaurant
Gud Dhani,Cafe Cassia& Deli
Bathinda Junction,Scottish Pub
New Kabab Plaza,Palmgrove
Sankranthi Veg Restaurant,Tasting Room - Bengaluru Oota Company
Litti Twist,MTR 1924
Kalingas,ThrowBack - Pub & Dine
Gorbandh,The Blackboard Bakery
Baba Ka Dhaba,Fresh Pressery Cafe
Mahesh Friends Food Center,Downtown
Amontron,The Ritz-Carlton Bar - The Ritz-Carlton
Deja Vu Resto Bar,Polo Club - The Oberoi
Chavadi,Atomic Lab
Crumb Together,Curry with a 'K' - St. Mark's Hotel
Subz,Chaithanya Delicacy
Empire Restaurant,Ottimo - ITC Gardenia
San Churro Cafe,Coco Grove Beer Cafe
Tree Top,Nagashree's
The Yellow Chilli,Petoo
Onesta,RR Catering
Redberrys,Khazana Food Paradise
Cafe Mondo,Mandarin Box
1980s Games Cafe,Indian Coffee House
Go Native,Siddappa Hotel
Cafe Shuffle,Lakeview Milkbar
Krazzy Folds,Nisarga Garden
The Airos,Vishnu Sagar
San Churro Cafe,Mathsya Darshini
Grazers,Hotel Ajantha
Java City,Tayabbs
FreshMenu,Vasudev Adiga's
Empire Restaurant,Indy's Comfort Food
Anna Kuteera,Sagar Chats
Energy Addaa,Rescafe
KFC,Thom's Bakery
Bengaluru Coffee House,Fava
Shanmukha,The Permit Room
Bhukkhad Baba,ShakesBierre
House Of Kebabs,The 13th Floor
Smoke-A-Pot,KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©
Chaatimes,Bangalore Brew Works
Shanthi Sagar,Fava
Kabab Magic,Alchemy - The Chancery Pavilion
The Biriyani Pedia,1Q1
Paratha Junction,Tree Tops Bar & Kitchen
SL Vadapav,Bang - The Ritz-Carlton
Adithya,Capri Gastrobar
Krispy Kreme,Russh Gastropub
Keventers,Plan B
Polar Bear,Coconut Grove
Kedia's Fun Food,Scottish Pub
Sri Udupi Food Hub,ThrowBack - Pub & Dine
Meghana Foods,Downtown
Ovenstory Pizza,The Ritz-Carlton Bar - The Ritz-Carlton
Chai Point,Lakeview Milkbar
Twiststick House,1Q1
Wahab,Tree Tops Bar & Kitchen
Faasos,The Spice Bazaar
Grazers,Capri Gastrobar
Patio 805,Russh Gastropub
Janahaar,Coconut Grove
Juicy Momos,Riwaz - The Ritz-Carlton
Upahara Darshini,Matsuri - The Chancery Hotel
SLV Corner Restaurant,Scottish Pub
XO Belgian Waffle,ThrowBack - Pub & Dine
Firangi Bake,Downtown
Vinny's,Atomic Lab
Matru Sagar,AB's - Absolute Barbecues
Stories,Flechazo
Rajanna Military Hotel,HQ
Protein Grillhouse,The Terrace at Windmills Craftworks
Pizza Mane,Kava Kitchen & Bar - Fairfield by Marriott
Old Mumbai Ice Cream,M Cafe - Bengaluru Marriott Hotel Whitefield
Bikaner Jn,M Bar - Bengaluru Marriott Hotel Whitefield
The Belgian Waffle Co.,Elements - Mapple Express
Cool Corner,Breads and Banter
Vakulaa Veg Restaurant,Madouk Cafe
McDonald's,Cafe Coffee Day
Frozen Bottle,An Egg Story
Pancuzzi,Whitefield Baking Company - Bengaluru Marriott Hotel...
Bhavani Chats N Juice,Breads and Banter
LIT Gastro Pub,North Wale Restaurant
Bake Addiction,An Egg Story
Go Native,The Dhaba
San Churro Cafe,Bhagini Kitchen And Bar
Sukh Sagar,Sai Foods
Bakers Town,Kabab Mirchi
Amande Patisserie,Ammi's Biryani
Sandwich Mama's And Frozen Monster,ReadyBowl
Sreeraj Lassi Bar,Breads and Banter
Rahhams,Little Black Choux
Cafe Shuffle,Whitefield Baking Company - Bengaluru Marriott Hotel...
Bubblewrap Waffle Co.,Gilly's Restobar
Cross Road Cafe,Madouk Cafe
Pizza Stop,Cafe Coffee Day
The Chocolate Room,North Wale Restaurant
Hatti Kaapi,An Egg Story
Little Cafe,Mayura Sagar
Cane-O-La,Mayura Grand
Ruchis Point,Treat
Mudpipe Cafe,Biergarten
Chai Kraft,Windmills Craftworks
The Krishna Grand Xpress,AB's - Absolute Barbecues
City Durbar,Flechazo
Indori Chatorey,Oota Bangalore
Brew Meister,HQ
Cafe Mondo,The Terrace at Windmills Craftworks
Ugadi,Kava Kitchen & Bar - Fairfield by Marriott
Waffle-A-Go Go,M Cafe - Bengaluru Marriott Hotel Whitefield
Mug N Bean,Amber Rush by The Pool
Pappu Da Dhaba,Pablo's Gastrobar
Pop Hop,Alto Vino - Bengaluru Marriott Hotel Whitefield
1441 Pizzeria,The Dhaba
The Airos,Bhagini Kitchen And Bar
Sea Spice by 7 Star,M Bar - Bengaluru Marriott Hotel Whitefield
Maiyas,Whitefield Bar and Grill - Bengaluru Marriott Hotel...
By 2 Coffee,Kabab Mirchi
Chocoberry,Whitefield Baking Company - Bengaluru Marriott Hotel...
Java City,Elements - Mapple Express
Euki,Ammi's Biryani
Kalpavriksha Upahara,Udupi Grand
New Punjabi Hotel,Gilly's Restobar
Baisakhi,Biergarten
De Thaali,Windmills Craftworks
Ice Land,HQ
D View Cafe,Pablo's Gastrobar
The Trundle,M Bar - Bengaluru Marriott Hotel Whitefield
Tree Top,AB's - Absolute Barbecues
Anand Sweets and Savouries,"3B's - Buddies, Bar & Barbecues"
Krazzy Folds,The Black Pearl
Rajvardhan Foods,XOOX Brewmill
The Chaat Shop,Boho
Red Onion,Barbeque Nation
Spice Elephant,Hunan
Food Springs,The Flying Trapeze
The Jade Kitchen,Cafe Orio
Kamat Minerva,De Street Cafe
Davangere Benna Dose Hotel,Fabindia Cafe
1980s Games Cafe,Truffles
The Yellow Chilli,Sixth Avenue Cafe And Patisserie
Karnataka Bhel House,Hungry Hippie
Kataria's Pakwan,Market Table
Kamat Bugle Rock,Starbucks
Utsav,Vitamin Palace
Subz,Kalmane Koffees
Polamma's Mess,Barista
Cable Car,Dhuaan
South Kitchen,Momoz
Redberrys,Indore Eat Restaurant
Parika Multicuisine Restaurant,Jose's Mess
The Lassi Park,Pecos Hideout
Upahara Darshini,Bansuri Sweets
Targaryen's Kitchen,Eat N Drink
Chef Master,Cafe Orio
As On Fire,Dilish Kitchens
Drunken Monkey,The Cheesecake Corner
XO Belgian Waffle,Hungry Lee
Amande Patisserie,Pabrai's Fresh and Naturelle Icecreams
Redberrys,Late Night
Polar Bear,The Biryani Story
Frozen Bottle,Namana Garden
Maiyas,De Street Cafe
Bubblewrap Waffle Co.,So-Fat's Dosas
The Belgian Waffle Co.,Night Bell
Chocoberry,Gilly's Restobar
San Churro Cafe,Bottle Breacher
Krispy Kreme,Kesariya
Keventers,Big Wong XL
Sreeraj Lassi Bar,Kritunga Restaurant
Waffle-A-Go Go,Hunan
Pop Hop,Khawa Karpo
Onesta,Art of Delight
Baisakhi,House Of Commons
SLV Corner Restaurant,Market Table
Redberrys,Nandhana Palace
Cafe Mondo,Indian Coffee House & Restaurant
Little Cafe,Samosa Party
House Of Kebabs,The ThickShake Factory
1980s Games Cafe,Shree Thali
Upahara Darshini,Gundappa Donne Biryani
Kabab Magic,Daily Bread
Energy Addaa,Niice Cream
Karnataka Bhel House,Amma's Pastries
KFC,Sri Devi Baker's
McDonald's,The Cheesecake Corner
South Kitchen,Kurtoskalacs
Sandwichwallas,Bonsouth
Twiststick House,Sixth Avenue Cafe And Patisserie
Kamat Bugle Rock,Art of Delight
Polar Bear,Banchharam
Chaatimes,Baskin Robbins
Kamat Minerva,Daily Bread
Pizza Stop,Niice Cream
Burger King,AB's - Absolute Barbecues
Meghana Foods,"3B's - Buddies, Bar & Barbecues"
Gufha - The President Hotel,Jose's Mess
Go Native,Pecos Hideout
Fusion Theory,The Biryani Story
Kapoor's Cafe,Cafe Orio
Andhra Ruchulu,Dilish Kitchens
Brew Meister,De Street Cafe
Empire Restaurant,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C
Patio 805,Kannur Food Point
Vinny's,Bansuri Sweets
Cafe Shuffle,Hungry Lee
Krazzy Folds,Kesar Sweet Shop and Fast Food
The Airos,Udupi Gokul Cafe
Maiyas,Sri Devi Baker's
The Krishna Grand Xpress,Eat N Drink
Euki,Sri Vishnupriya
San Churro Cafe,Namana Garden
Sukh Sagar,Ande Ka Funda
De Thaali,Fabindia Cafe
Vakulaa Veg Restaurant,The Black Pearl
Upahara Darshini,XOOX Brewmill
Food Springs,Gilly's Restobar
Tree Top,Bombay Adda
The Trundle,Levitate Brewery and Kitchen
Grazers,Biergarten
Matru Sagar,Boho
The Yellow Chilli,Barbeque Nation
Java City,The Reservoire
Ugadi,Indigo XP
As On Fire,Fenny's Lounge And Kitchen
Wahab,Sharief Bhai
Juicy Momos,ECHOES Koramangala
Brew Meister,House Of Commons
The Fisherman's Wharf,Hunger Camp
Tipsy Bull - The Bar Exchange,Drava
Punjabi Times,The Terrace at Gilly's Redefined
The Fisherman's Wharf,The Boozy Griffin
The Hidden Home,Simon Says Brew Works
Xtreme Sports Bar,Kesariya
The Salad Studio,Three Dots & A Dash
Cafe Coffee Day,Myu Bar at Gilly's Redefined
Delitz Creamvilla Cafe,55 Wall Street
Cafe Thulp,Public - The Rooftop Bar And Kitchen
Zoey's,Sixth Avenue Cafe And Patisserie
Eating Love,Big Wong XL
Blue Berry Restaurant,Kritunga Restaurant
BOX8- Desi Meals,Hunan
FreshMenu,Hungry Hippie
Udupi Ruchi,The Flying Trapeze
The Paratha Company,Market Table
Burger King,Baba Chatkora
Phulke Ghar Ke,Nandhana Palace
XO Belgian Waffle,Sathya's
Lassi Corner,Bottle Breacher
Bathinda Junction,Indian Coffee House & Restaurant
Meghana Foods Grand,Bulls N Bears - Bar Trade Xchange
Basmati Restaurant,JukeBox
Empire Restaurant,Sherlock's Pub
Moriz Restaurant,Khawa Karpo
Polar Bear,Lounge 189
Biryani Kitchen,Vitamin Palace
Udupi Aatithya,Mavalli Tiffin Room (MTR)
Pepperwood,IDC Kitchen
Al Daaz,Shree Thali
Mojo Pizza - 2X Toppings,Banchharam
Chai Point,Green Onion
Onesta,Gundappa Donne Biryani
Bihar Ki Shan,Flavor of Tibet
Shudh,Dhuaan
Biryani Miya,Shiv Sagar
Potful,Tibbs Frankie
Bahar Cafe,Coconadu
KFC,SLV Restaurant
DinePost9,Udupi Grand
Sri Vishnu Grand,Malabar Coastal Cuisine
WOW! Momo,Chai Chowk
Behrouz Biryani,Falafel's - The Lebanese Haus
Maa Bhook Lagi,Panchami Garden
Cake Town Cafe,Cafe Bollywood
Sri Udupi Park,Kakal-Kai Ruchi
Punjabi Nukkad Pure Veg,Gilly's Restobar
Mealer.in,Biergarten
Kya Khaoge,"3B's - Buddies, Bar & Barbecues"
The Nosh House,Pecos Hideout
Firangi Bake,XOOX Brewmill
Savoury Restaurant,Bombay Adda
Faasos,Levitate Brewery and Kitchen
The Flying Cup,Fenny's Lounge And Kitchen
Sarjapur Social,House Of Commons
The Fisherman's Wharf,Drava
Just Shawarma,The Terrace at Gilly's Redefined
The Hidden Home,The Boozy Griffin
Byg Brewski Brewing Company,Simon Says Brew Works
The Salad Studio,Myu Bar at Gilly's Redefined
Petoo,55 Wall Street
Dhaba Estd 1986 Delhi,The Flying Trapeze
Inhouse Burger,Sathya's
Manchow,Bottle Breacher
Bangaliana,Bulls N Bears - Bar Trade Xchange
La Casa Brewery And Kitchen,Sherlock's Pub
Sri Dalma,"3B's - Buddies, Bar & Barbecues"
Al Khansah,Fenny's Lounge And Kitchen
Chullah Bhatti,Biergarten
Kabab Magic,Pecos Hideout
The Kebab House,The Black Pearl
Shake It Off,Gilly's Restobar
Broadway - The Gourmet Theatre,Bombay Adda
Parrattha Ssinghh,Indigo XP
Yummy Tummy,Fenny's Lounge And Kitchen
Ajwa Thalassery Biryani,House Of Commons
Wangs Kitchen,The Boozy Griffin
Sintales,Three Dots & A Dash
The Litti Company,Myu Bar at Gilly's Redefined
Punjabi Times,55 Wall Street
Vandana Andhra and Multi Cuisine,Public - The Rooftop Bar And Kitchen
Aashish Foods,Nandhana Palace
Laddoos,Sathya's
Rusbury Fresh Sweets And Savouries,Bottle Breacher
Charcoal Eats,Bulls N Bears - Bar Trade Xchange
Foodbell,JukeBox
Sichuan,Sherlock's Pub
Ovenstory Pizza,Lounge 189
Stoned Monkey,JW Kitchen - JW Marriott Bengaluru
Delitz Creamvilla Cafe,Rim Naam - The Oberoi
Zeeshan,Cubbon Pavilion - ITC Gardenia
Dad's Cookhouse,The Spice Bazaar
McDonald's,The Market - The Ritz-Carlton
Smoor,WelcomCafe Jacaranda - WelcomHotel Bengaluru
Cafe Thulp,Season - Adarsh Hamilton
Goli Vada Pav No. 1,Ithaca - The Chancery Pavilion
Mughal Treat,Saatvikk
Le Gateau - The Cake Shop,Curry with a 'K' - St. Mark's Hotel
Deli Chats and Sweets,Mynt - The Taj West End
Mumbai Xpress,Brik Oven
Fusion Tadka,Matteo Coffea
Delhi Restaurant,Truffles
Tipsy Bull - The Bar Exchange,Japan Travel Cafe Azuki
Hyderabad Biryaani Home,Cafe Kaara
Pabrai's Fresh & Naturelle Icecreams,Lakeview Milkbar
Drunken Monkey,Cafe Coffee Day The Square
Pop Hop,KAARA BY THE LAKE
Kabab Mandra,Trick Or Treat
Chicken Man,The Blackboard Bakery
Ice N Fries Cafe,Fresh Pressery Cafe
Biriyani Bungalow,Cafe Cassia& Deli
Absolute Shawarma,Kalmane Koffees
Mak n Vak - Fyn,The Courtyard
Xtreme Sports Bar,BanBay
As On Fire,Mandarin Box
Kadala Teera,Lassi Shop
Second Wife Cafe,Vasudev Adiga's
Cafe Mondo,Fava
Zoey's,ThrowBack - Pub & Dine
The Vape,Chai Point
Dhaba Shaba,Truffles
Mishmash,Art of Delight
Eating Love,Japan Travel Cafe Azuki
Unico,Khazana Food Paradise
Dosa Time,Cafe Kaara
Kawaii,Pashto
B.M.W - Bhookh Mitaane Wala,Lakeview Milkbar
Bonfooder,Raidan Restaurant
Cafe At The Atelier,KAARA BY THE LAKE
Eatsomnia,Trick Or Treat
La-Pizza,Tempura Restaurant
That Garage Cafe,Nagashree's
Mumbai Kulfi,Indy's Comfort Food
Wow Vada Pav,RR Catering
Polar Bear,Rescafe
Laddoos,Petoo
Cake Town Cafe,Alchemy - The Chancery Pavilion
Smoor,Art of Delight
Delitz Creamvilla Cafe,Fabelle Chocolate Boutique - ITC Gardenia
Punjabi Times,Lakeview Milkbar
Tipsy Bull - The Bar Exchange,Corner House Ice Cream
Shake It Off,Amma's Pastries
Empire Restaurant,Anand Sweets and Savouries
Basmati Restaurant,Keventers
The Salad Studio,Ganache - The Ritz-Carlton
Sichuan,The Bangalore Cafe
Blue Berry Restaurant,Thom's Bakery
Manchow,Brik Oven
Unico,Carnatic
Cafe Coffee Day,Matteo Coffea
Chicken Man,Russh Gastropub
Al Khansah,Coconut Grove
Cafe Thulp,Coco Grove Beer Cafe
Udupi Aatithya,Mandarin Box
